交易类型,交易金额,交易工作日,交易渠道
现金宝快取,100000,20160229,企业web版
现金宝普取,4000000,20160229,企业web版
现金宝普取,10000000,20160229,企业web版
现金宝普取,38000000,20160229,企业web版
现金宝快取,500000,20160301,企业web版
现金宝普取,22000,20160301,企业web版
现金宝普取,10.32,20160301,企业web版
现金宝普取,480000,20160301,企业web版
现金宝快取,200000,20160301,企业web版
现金宝普取,4150000,20160302,企业web版
现金宝普取,112352688.37,20160302,企业web版
现金宝普取,5000000,20160304,企业web版
现金宝普取,10000000,20160307,企业web版
现金宝普取,100000,20160307,企业web版
现金宝普取,3007204.27,20160307,企业web版
现金宝普取,500,20160307,企业web版
现金宝普取,5450000,20160307,企业web版
现金宝普取,550000,20160307,企业web版
现金宝普取,13771053.74,20160308,企业web版
现金宝普取,10000000,20160229,企业web版
现金宝快取,1000000,20160229,企业web版
现金宝普取,1,20160229,企业web版
现金宝普取,0.45,20160302,企业web版
高端赎回,4020173.8,20160303,企业web版
现金宝普取,10.57,20160303,企业web版
现金宝普取,750000,20160303,企业web版
现金宝普取,2000000,20160304,企业web版
现金宝普取,5000000,20160304,企业web版
现金宝普取,70000,20160229,企业web版
现金宝普取,5500000,20160229,企业web版
现金宝普取,203497918.87,20160229,企业web版
现金宝普取,300656449.46,20160301,企业web版
现金宝普取,4143605.48,20160302,企业web版
现金宝普取,4461005.49,20160302,企业web版
现金宝普取,16.11,20160303,企业web版
现金宝普取,6000000,20160303,企业web版
现金宝普取,50000,20160304,企业web版
现金宝普取,3520487.07,20160304,企业web版
现金宝普取,16.07,20160307,企业web版
现金宝快取,300000,20160307,企业web版
现金宝快取,106800,20160308,企业web版
现金宝普取,37.19,20160308,企业web版
现金宝快取,50000,20160308,企业web版
现金宝普取,1000000,20160308,企业web版
现金宝普取,3000000,20160308,企业web版
现金宝普取,101188.94,20160308,企业web版
现金宝普取,1000,20160309,企业web版
现金宝普取,300000,20160309,企业web版
现金宝普取,200000,20160309,企业web版
现金宝普取,300000,20160309,企业web版
现金宝快取,2,20160310,企业web版
现金宝普取,160000,20160310,企业web版
现金宝普取,12331602.55,20160310,企业web版
现金宝普取,10000000,20160310,企业web版
现金宝普取,2,20160310,企业web版
现金宝普取,930906.55,20160310,企业web版
现金宝普取,2000000,20160310,企业web版
现金宝普取,300000,20160229,企业web版
现金宝普取,1726.94,20160229,企业web版
现金宝普取,1172.61,20160229,企业web版
现金宝普取,300000,20160229,企业web版
现金宝普取,50000,20160229,企业web版
现金宝普取,50000000,20160229,企业web版
现金宝普取,2000000,20160229,企业web版
现金宝快取,0.01,20160301,企业web版
现金宝普取,10000000,20160301,企业web版
现金宝普取,17322.81,20160301,企业web版
现金宝普取,208319516.51,20160302,企业web版
现金宝普取,30000000,20160302,企业web版
现金宝普取,10000000,20160302,企业web版
现金宝普取,150000,20160303,企业web版
现金宝普取,500000,20160303,企业web版
现金宝普取,300000,20160304,企业web版
现金宝普取,100000000,20160304,企业web版
现金宝普取,200000000,20160304,企业web版
现金宝普取,1000000,20160307,企业web版
现金宝普取,600000,20160307,企业web版
现金宝普取,80000,20160307,企业web版
现金宝普取,1500000,20160308,企业web版
现金宝普取,20000000,20160309,企业web版
现金宝普取,10.38,20160309,企业web版
现金宝普取,300000000,20160309,企业web版
现金宝普取,16.37,20160301,企业web版
现金宝普取,200000,20160301,企业web版
现金宝普取,100000,20160302,企业web版
现金宝普取,5000000,20160303,企业web版
现金宝普取,1000000,20160303,企业web版
现金宝普取,400000,20160303,企业web版
现金宝普取,10000,20160304,企业web版
现金宝普取,200000,20160307,企业web版
现金宝普取,700000000,20160308,企业web版
现金宝普取,150000,20160308,企业web版
现金宝普取,1000000,20160308,企业web版
现金宝普取,10000000,20160309,企业web版
现金宝快取,1500000,20160309,企业web版
现金宝普取,200000,20160309,企业web版
现金宝普取,52.77,20160310,企业web版
现金宝普取,0.01,20160310,企业web版
现金宝普取,150000,20160229,企业web版
现金宝普取,16467.84,20160301,企业web版
高端申购,6500000,20160301,企业web版
现金宝普取,4000,20160301,企业web版
现金宝普取,1000000,20160301,企业web版
现金宝普取,2508964.53,20160302,企业web版
现金宝普取,2071890.04,20160303,企业web版
现金宝普取,400000000,20160304,企业web版
现金宝普取,6500000,20160304,企业web版
现金宝普取,6600000,20160304,企业web版
现金宝普取,10.03,20160307,企业web版
现金宝快取,30000000,20160307,企业web版
现金宝快取,50000,20160308,企业web版
现金宝普取,10.08,20160308,企业web版
现金宝普取,50000,20160308,企业web版
现金宝普取,1000000,20160229,企业web版
现金宝普取,200000,20160229,企业web版
现金宝普取,64291.85,20160301,企业web版
现金宝普取,140000,20160301,企业web版
现金宝快取,5000000,20160304,企业web版
现金宝快取,200000,20160304,企业web版
现金宝普取,992273.21,20160307,企业web版
现金宝普取,400000,20160307,企业web版
现金宝普取,500000,20160308,企业web版
现金宝普取,14000000,20160308,企业web版
现金宝快取,6000000,20160308,企业web版
现金宝普取,2000000,20160308,企业web版
现金宝普取,400000000,20160308,企业web版
现金宝普取,3040273.97,20160309,企业web版
现金宝普取,500.28,20160309,企业web版
现金宝普取,0.01,20160310,企业web版
现金宝普取,3500000,20160310,企业web版
现金宝普取,1450000,20160310,企业web版
现金宝普取,10.05,20160310,企业web版
现金宝快取,160000,20160310,企业web版
现金宝普取,0.01,20160310,企业web版
现金宝普取,5000000,20160310,企业web版
现金宝普取,2500000,20160310,企业web版
现金宝普取,552.78,20160310,企业web版
现金宝普取,1000000,20160310,企业web版
现金宝快取,4000000,20160311,企业web版
现金宝普取,10000000,20160311,企业web版
现金宝普取,40000000,20160311,企业web版
现金宝普取,20463726.03,20160311,企业web版
现金宝普取,100000,20160314,企业web版
现金宝快取,120000,20160315,企业web版
现金宝普取,500000,20160315,企业web版
现金宝普取,1930128.91,20160315,企业web版
现金宝普取,10000000,20160316,企业web版
现金宝普取,2000000,20160316,企业web版
现金宝普取,3000000,20160317,企业web版
现金宝普取,100000,20160317,企业web版
现金宝普取,6958943.06,20160318,企业web版
现金宝快取,50000,20160321,企业web版
现金宝普取,10.21,20160321,企业web版
现金宝普取,2000000,20160321,企业web版
现金宝普取,650000,20160321,企业web版
现金宝普取,150000,20160321,企业web版
现金宝普取,3063.12,20160321,企业web版
现金宝普取,200000,20160322,企业web版
现金宝普取,200000000,20160322,企业web版
高端认购,2000000,20160322,企业web版
现金宝普取,200000000,20160322,企业web版
现金宝普取,36562442.15,20160322,企业web版
现金宝普取,5021218.22,20160322,企业web版
现金宝普取,140000,20160323,企业web版
现金宝快取,10000,20160323,企业web版
现金宝普取,12500000,20160323,企业web版
现金宝普取,200000000,20160323,企业web版
现金宝普取,16.07,20160324,企业web版
现金宝普取,10.09,20160324,企业web版
现金宝普取,1000000,20160324,企业web版
现金宝普取,10364327.13,20160324,企业web版
现金宝普取,400771669.32,20160325,企业web版
现金宝普取,10.35,20160325,企业web版
现金宝普取,130021654.94,20160325,企业web版
现金宝普取,270044975.65,20160325,企业web版
现金宝普取,60000000,20160325,企业web版
现金宝普取,78063651.63,20160325,企业web版
现金宝普取,1700000,20160329,企业web版
现金宝普取,7000000,20160329,企业web版
现金宝普取,3025583.97,20160329,企业web版
现金宝普取,5000000,20160329,企业web版
现金宝普取,25000,20160330,企业web版
现金宝普取,5000000,20160330,企业web版
现金宝普取,50000,20160330,企业web版
现金宝普取,0.1,20160311,企业web版
现金宝快取,0.02,20160311,企业web版
现金宝普取,2,20160311,企业web版
现金宝快取,1000.23,20160311,企业web版
现金宝普取,50000000,20160314,企业web版
现金宝普取,300000,20160314,企业web版
高端申购,2000000,20160314,企业web版
现金宝普取,250000,20160314,企业web版
现金宝普取,1500,20160315,企业web版
现金宝快取,6000000,20160315,企业web版
现金宝普取,198572508.69,20160316,企业web版
现金宝普取,11.01,20160316,企业web版
现金宝普取,31000000,20160316,企业web版
现金宝普取,2000000,20160316,企业web版
现金宝普取,20000,20160317,企业web版
现金宝普取,6071.53,20160317,企业web版
现金宝普取,6024709.71,20160321,企业web版
现金宝普取,2000000,20160321,企业web版
现金宝普取,500000,20160323,企业web版
